model,time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
DWN,2025-01-27 22:10:12,0.0789,Iris,Distributive,,,0.8198
DWN,2025-01-27 22:10:12,0.0471,Iris,Gaussian,,,0.9800
DWN,2025-01-27 22:10:12,0.0348,Iris,Gaussian,,,0.9600
DWN,2025-01-27 22:10:12,0.0646,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0551,Iris,Gaussian,,,0.7658
DWN,2025-01-27 22:10:12,0.0453,Iris,Gaussian,,,0.9800
DWN,2025-01-27 22:10:12,0.0382,Iris,Linear,,,0.9600
DWN,2025-01-27 22:10:12,0.0701,Iris,Gaussian,,,0.7928
DWN,2025-01-27 22:10:12,0.0348,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:12,0.0538,Iris,Gaussian,,,0.9400
DWN,2025-01-27 22:10:12,0.0714,Iris,Gaussian,,,0.7748
DWN,2025-01-27 22:10:12,0.0388,Iris,Linear,,,0.9600
DWN,2025-01-27 22:10:12,0.0688,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0505,Iris,Gaussian,,,0.9600
DWN,2025-01-27 22:10:12,0.0374,Iris,Linear,,,0.9600
DWN,2025-01-27 22:10:12,0.0747,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0486,Iris,Gaussian,,,0.9200
DWN,2025-01-27 22:10:12,0.0609,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0352,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:12,0.0321,Iris,Linear,,,0.9400
DWN,2025-01-27 22:10:12,0.0709,Iris,Gaussian,,,0.8018
DWN,2025-01-27 22:10:12,0.0516,Iris,Gaussian,,,0.9600
DWN,2025-01-27 22:10:12,0.0703,Iris,Gaussian,,,0.8198
DWN,2025-01-27 22:10:12,0.0342,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:12,0.0329,Iris,Linear,,,0.9400
DWN,2025-01-27 22:10:12,0.0597,Iris,Gaussian,,,0.8108
DWN,2025-01-27 22:10:12,0.0358,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:12,0.0423,Iris,Linear,,,0.8600
DWN,2025-01-27 22:10:12,0.0761,Iris,Gaussian,,,0.8198
DWN,2025-01-27 22:10:12,0.0369,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:12,0.0782,Iris,Gaussian,,,0.8739
DWN,2025-01-27 22:10:12,0.0421,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:12,0.0389,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:12,0.0701,Iris,Gaussian,,,0.7928
DWN,2025-01-27 22:10:12,0.0393,Iris,Linear,,,0.9400
DWN,2025-01-27 22:10:12,0.0655,Iris,Gaussian,,,0.8378
DWN,2025-01-27 22:10:12,0.0408,Iris,Scatter Code,10,50,0.8800
DWN,2025-01-27 22:10:12,0.0466,Iris,Linear,,,0.9600
DWN,2025-01-27 22:10:13,0.0807,Iris,Gaussian,,,0.8018
DWN,2025-01-27 22:10:13,0.0390,Iris,Scatter Code,10,50,1.0000
DWN,2025-01-27 22:10:13,0.0728,Iris,Gaussian,,,0.8468
DWN,2025-01-27 22:10:13,0.0503,Iris,Linear,,,0.9600
DWN,2025-01-27 22:10:13,0.0374,Iris,Scatter Code,10,50,0.9200
DWN,2025-01-27 22:10:13,0.0723,Iris,Gaussian,,,0.8288
DWN,2025-01-27 22:10:13,0.0555,Iris,Linear,,,0.9600
DWN,2025-01-27 22:10:13,0.0386,Iris,Scatter Code,10,50,0.8800
DWN,2025-01-27 22:10:13,0.0734,Iris,Gaussian,,,0.8559
DWN,2025-01-27 22:10:13,0.0403,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:13,0.0407,Iris,Scatter Code,10,50,0.9400
DWN,2025-01-27 22:10:13,0.0657,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0782,Iris,Gaussian,,,0.8559
DWN,2025-01-27 22:10:13,0.0443,Iris,Scatter Code,10,50,0.8400
DWN,2025-01-27 22:10:13,0.0600,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:13,0.0407,Iris,Scatter Code,10,50,0.9400
DWN,2025-01-27 22:10:13,0.0710,Iris,Linear,,,0.8288
DWN,2025-01-27 22:10:13,0.0416,Iris,Linear,,,0.9800
DWN,2025-01-27 22:10:13,0.0683,Iris,Linear,,,0.7658
DWN,2025-01-27 22:10:13,0.0327,Iris,Scatter Code,10,50,1.0000
DWN,2025-01-27 22:10:13,0.0374,Iris,Linear,,,0.7838
DWN,2025-01-27 22:10:13,0.0634,Iris,Scatter Code,10,50,0.8000
DWN,2025-01-27 22:10:13,0.0536,Iris,Scatter Code,10,100,0.8800
DWN,2025-01-27 22:10:13,0.0806,Iris,Linear,,,0.7568
DWN,2025-01-27 22:10:13,0.0359,Iris,Scatter Code,10,50,1.0000
DWN,2025-01-27 22:10:13,0.1177,Iris,Linear,,,0.7928
DWN,2025-01-27 22:10:13,0.0378,Iris,Scatter Code,10,100,1.0000
DWN,2025-01-27 22:10:13,0.0542,Iris,Linear,,,0.8468
DWN,2025-01-27 22:10:13,0.0330,Iris,Scatter Code,10,100,0.9600
DWN,2025-01-27 22:10:13,0.0589,Iris,Linear,,,0.8108
DWN,2025-01-27 22:10:13,0.0318,Iris,Scatter Code,10,100,0.9600
DWN,2025-01-27 22:10:13,0.0558,Iris,Linear,,,0.8739
DWN,2025-01-27 22:10:13,0.0568,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0398,Iris,Scatter Code,10,100,0.8400
DWN,2025-01-27 22:10:13,0.0510,Iris,Linear,,,0.8468
DWN,2025-01-27 22:10:13,0.0397,Iris,Scatter Code,10,100,0.8600
DWN,2025-01-27 22:10:13,0.0579,Iris,Linear,,,0.8108
DWN,2025-01-27 22:10:13,0.0525,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0366,Iris,Scatter Code,10,100,0.9400
DWN,2025-01-27 22:10:13,0.0573,Iris,Linear,,,0.8018
DWN,2025-01-27 22:10:13,0.0533,Iris,Linear,,,0.7928
DWN,2025-01-27 22:10:13,0.0416,Iris,Scatter Code,10,100,0.9200
DWN,2025-01-27 22:10:13,0.0371,Iris,Scatter Code,10,100,0.8400
DWN,2025-01-27 22:10:13,0.0534,Iris,Linear,,,0.8378
DWN,2025-01-27 22:10:13,0.0607,Iris,Linear,,,0.7568
DWN,2025-01-27 22:10:13,0.0389,Iris,Scatter Code,10,100,0.9000
DWN,2025-01-27 22:10:13,0.0416,Iris,Linear,,,0.7748
DWN,2025-01-27 22:10:13,0.0507,Iris,Linear,,,0.7568
DWN,2025-01-27 22:10:13,0.0538,Wine Quality,Scatter Code,10,50,0.7477
DWN,2025-01-27 22:10:13,0.0480,Iris,Linear,,,0.8108
DWN,2025-01-27 22:10:13,0.0534,Wine Quality,Scatter Code,10,50,0.8829
DWN,2025-01-27 22:10:14,0.1493,Wine Quality,Scatter Code,10,50,0.8378
DWN,2025-01-27 22:10:14,0.0787,Iris,Scatter Code,10,100,0.7568
DWN,2025-01-27 22:10:14,0.0692,Wine Quality,Scatter Code,10,50,0.8288
DWN,2025-01-27 22:10:14,0.0708,Iris,Scatter Code,10,100,0.8468
DWN,2025-01-27 22:10:14,0.0848,Wine Quality,Scatter Code,10,50,0.8288
DWN,2025-01-27 22:10:14,0.0916,Wine Quality,Scatter Code,10,100,0.8559
DWN,2025-01-27 22:10:14,0.0741,Wine Quality,Scatter Code,10,50,0.8288
DWN,2025-01-27 22:10:14,0.0827,Wine Quality,Scatter Code,10,100,0.8018
DWN,2025-01-27 22:10:14,0.0780,Wine Quality,Scatter Code,10,50,0.8198
DWN,2025-01-27 22:10:14,0.0813,Wine Quality,Scatter Code,10,100,0.8288
DWN,2025-01-27 22:10:14,0.0780,Wine Quality,Scatter Code,10,50,0.8468
DWN,2025-01-27 22:10:14,0.0820,Wine Quality,Scatter Code,10,100,0.8288
DWN,2025-01-27 22:10:14,0.0703,Wine Quality,Scatter Code,10,50,0.8559
DWN,2025-01-27 22:10:14,0.0898,Wine Quality,Scatter Code,10,100,0.8468
DWN,2025-01-27 22:10:14,0.9602,Wine Quality,Distributive,,,0.4937
DWN,2025-01-27 22:10:14,0.0643,Wine Quality,Scatter Code,10,50,0.8198
DWN,2025-01-27 22:10:14,0.0678,Wine Quality,Scatter Code,10,100,0.8649
DWN,2025-01-27 22:10:14,0.0634,Wine Quality,Scatter Code,10,100,0.8559
DWN,2025-01-27 22:10:15,0.0612,Wine Quality,Scatter Code,10,100,0.8378
DWN,2025-01-27 22:10:15,0.9163,Wine Quality,Distributive,,,0.4275
DWN,2025-01-27 22:10:15,0.6582,Wine Quality,Distributive,,,0.4928
DWN,2025-01-27 22:10:15,0.7043,Wine Quality,Distributive,,,0.4825
DWN,2025-01-27 22:10:16,0.9629,EEG Eye State,Distributive,,,0.4984
DWN,2025-01-27 22:10:16,1.1446,EEG Eye State,Distributive,,,0.4830
DWN,2025-01-27 22:10:17,1.1187,EEG Eye State,Distributive,,,0.4951
DWN,2025-01-27 22:10:18,1.1789,EEG Eye State,Distributive,,,0.5063
DWN,2025-01-27 22:10:18,2.6344,EEG Eye State,Distributive,,,0.7597
DWN,2025-01-27 22:10:18,1.1541,EEG Eye State,Distributive,,,0.4872
DWN,2025-01-27 22:10:19,3.1573,EEG Eye State,Distributive,,,0.7399
DWN,2025-01-27 22:10:19,1.2062,EEG Eye State,Distributive,,,0.5068
DWN,2025-01-27 22:10:19,1.1557,EEG Eye State,Distributive,,,0.5002
DWN,2025-01-27 22:10:20,1.2258,EEG Eye State,Distributive,,,0.5100
DWN,2025-01-27 22:10:20,1.0616,EEG Eye State,Distributive,,,0.5016
DWN,2025-01-27 22:10:21,2.8551,EEG Eye State,Distributive,,,0.7896
DWN,2025-01-27 22:10:21,1.2006,EEG Eye State,Distributive,,,0.4909
DWN,2025-01-27 22:10:22,1.1178,EEG Eye State,Distributive,,,0.5040
DWN,2025-01-27 22:10:22,3.3501,EEG Eye State,Distributive,,,0.7862
DWN,2025-01-27 22:10:22,1.1631,EEG Eye State,Distributive,,,0.5305
DWN,2025-01-27 22:10:23,1.1383,EEG Eye State,Distributive,,,0.5305
DWN,2025-01-27 22:10:23,2.8848,EEG Eye State,Distributive,,,0.8220
DWN,2025-01-27 22:10:24,1.1953,EEG Eye State,Distributive,,,0.5282
DWN,2025-01-27 22:10:24,1.1233,EEG Eye State,Distributive,,,0.5371
DWN,2025-01-27 22:10:25,1.1686,EEG Eye State,Distributive,,,0.5170
DWN,2025-01-27 22:10:25,1.0402,EEG Eye State,Gaussian,,,0.5026
DWN,2025-01-27 22:10:25,3.3678,EEG Eye State,Distributive,,,0.8263
DWN,2025-01-27 22:10:26,1.1045,EEG Eye State,Gaussian,,,0.4639
DWN,2025-01-27 22:10:26,1.1554,EEG Eye State,Gaussian,,,0.4737
DWN,2025-01-27 22:10:26,2.8070,EEG Eye State,Distributive,,,0.8230
DWN,2025-01-27 22:10:27,1.1152,EEG Eye State,Gaussian,,,0.4951
DWN,2025-01-27 22:10:27,1.1432,EEG Eye State,Gaussian,,,0.4765
DWN,2025-01-27 22:10:28,1.1420,EEG Eye State,Gaussian,,,0.4914
DWN,2025-01-27 22:10:28,1.1538,EEG Eye State,Gaussian,,,0.4932
DWN,2025-01-27 22:10:29,3.3280,EEG Eye State,Distributive,,,0.8244
DWN,2025-01-27 22:10:29,2.8194,EEG Eye State,Distributive,,,0.8418
DWN,2025-01-27 22:10:29,1.0809,EEG Eye State,Gaussian,,,0.4904
DWN,2025-01-27 22:10:30,1.1717,EEG Eye State,Gaussian,,,0.4900
DWN,2025-01-27 22:10:30,1.0613,EEG Eye State,Gaussian,,,0.5030
DWN,2025-01-27 22:10:31,1.1369,EEG Eye State,Gaussian,,,0.4862
DWN,2025-01-27 22:10:32,1.1221,EEG Eye State,Gaussian,,,0.4998
DWN,2025-01-27 22:10:32,1.1768,EEG Eye State,Gaussian,,,0.5063
DWN,2025-01-27 22:10:32,2.8042,EEG Eye State,Distributive,,,0.8382
DWN,2025-01-27 22:10:32,3.2001,EEG Eye State,Distributive,,,0.8345
DWN,2025-01-27 22:10:33,1.0862,EEG Eye State,Gaussian,,,0.4951
DWN,2025-01-27 22:10:33,1.1433,EEG Eye State,Gaussian,,,0.4816
DWN,2025-01-27 22:10:34,1.0881,EEG Eye State,Gaussian,,,0.4755
DWN,2025-01-27 22:10:34,1.2095,EEG Eye State,Gaussian,,,0.4937
DWN,2025-01-27 22:10:35,2.8308,EEG Eye State,Distributive,,,0.8485
DWN,2025-01-27 22:10:35,1.1482,EEG Eye State,Gaussian,,,0.5152
DWN,2025-01-27 22:10:35,1.2047,EEG Eye State,Gaussian,,,0.4970
DWN,2025-01-27 22:10:35,3.5850,EEG Eye State,Distributive,,,0.8380
DWN,2025-01-27 22:10:36,1.2100,EEG Eye State,Linear,,,0.4145
DWN,2025-01-27 22:10:37,1.2506,EEG Eye State,Gaussian,,,0.5189
DWN,2025-01-27 22:10:37,1.1754,EEG Eye State,Linear,,,0.4224
DWN,2025-01-27 22:10:38,2.8569,EEG Eye State,Distributive,,,0.8487
DWN,2025-01-27 22:10:38,1.1723,EEG Eye State,Linear,,,0.4420
DWN,2025-01-27 22:10:38,1.0543,EEG Eye State,Linear,,,0.4569
DWN,2025-01-27 22:10:39,3.2425,EEG Eye State,Distributive,,,0.8301
DWN,2025-01-27 22:10:39,1.1680,EEG Eye State,Linear,,,0.4629
DWN,2025-01-27 22:10:40,1.0802,EEG Eye State,Linear,,,0.4737
DWN,2025-01-27 22:10:40,1.1307,EEG Eye State,Linear,,,0.4657
DWN,2025-01-27 22:10:40,2.7520,EEG Eye State,Distributive,,,0.8594
DWN,2025-01-27 22:10:41,1.1082,EEG Eye State,Linear,,,0.4443
DWN,2025-01-27 22:10:41,1.1390,EEG Eye State,Linear,,,0.4760
DWN,2025-01-27 22:10:42,1.1271,EEG Eye State,Linear,,,0.4723
DWN,2025-01-27 22:10:42,3.3362,EEG Eye State,Distributive,,,0.8461
DWN,2025-01-27 22:10:43,1.1785,EEG Eye State,Linear,,,0.4289
DWN,2025-01-27 22:10:43,1.1226,EEG Eye State,Linear,,,0.4676
DWN,2025-01-27 22:10:43,2.8534,EEG Eye State,Distributive,,,0.8455
DWN,2025-01-27 22:10:44,1.1687,EEG Eye State,Linear,,,0.4643
DWN,2025-01-27 22:10:44,1.1308,EEG Eye State,Linear,,,0.4667
DWN,2025-01-27 22:10:45,1.1121,EEG Eye State,Linear,,,0.4718
DWN,2025-01-27 22:10:45,1.0547,EEG Eye State,Linear,,,0.4555
DWN,2025-01-27 22:10:45,3.3518,EEG Eye State,Distributive,,,0.8582
DWN,2025-01-27 22:10:46,2.7532,EEG Eye State,Gaussian,,,0.6169
DWN,2025-01-27 22:10:46,1.1865,EEG Eye State,Linear,,,0.4671
DWN,2025-01-27 22:10:46,1.1605,EEG Eye State,Linear,,,0.4485
DWN,2025-01-27 22:10:47,1.3359,EEG Eye State,Linear,,,0.4620
DWN,2025-01-27 22:10:48,1.3450,EEG Eye State,Scatter Code,10,50,0.3809
DWN,2025-01-27 22:10:49,1.2667,EEG Eye State,Linear,,,0.4662
DWN,2025-01-27 22:10:49,1.2572,EEG Eye State,Scatter Code,10,50,0.2858
DWN,2025-01-27 22:10:49,3.1886,EEG Eye State,Gaussian,,,0.6226
DWN,2025-01-27 22:10:49,3.8625,EEG Eye State,Distributive,,,0.8305
DWN,2025-01-27 22:10:51,1.7081,EEG Eye State,Scatter Code,10,100,0.4149
DWN,2025-01-27 22:10:51,1.6149,EEG Eye State,Scatter Code,10,50,0.3837
DWN,2025-01-27 22:10:52,1.6284,EEG Eye State,Scatter Code,10,50,0.3566
DWN,2025-01-27 22:10:52,1.7205,EEG Eye State,Scatter Code,10,100,0.4424
DWN,2025-01-27 22:10:53,3.9690,EEG Eye State,Gaussian,,,0.6193
DWN,2025-01-27 22:10:54,1.6292,EEG Eye State,Scatter Code,10,50,0.4037
DWN,2025-01-27 22:10:54,1.6689,EEG Eye State,Scatter Code,10,100,0.4280
DWN,2025-01-27 22:10:54,4.7159,EEG Eye State,Gaussian,,,0.5603
DWN,2025-01-27 22:10:55,1.6317,EEG Eye State,Scatter Code,10,50,0.2834
DWN,2025-01-27 22:10:56,1.6868,EEG Eye State,Scatter Code,10,100,0.2457
DWN,2025-01-27 22:10:57,3.8798,EEG Eye State,Gaussian,,,0.6080
DWN,2025-01-27 22:10:57,1.5998,EEG Eye State,Scatter Code,10,50,0.3138
DWN,2025-01-27 22:10:57,1.6661,EEG Eye State,Scatter Code,10,100,0.3333
DWN,2025-01-27 22:10:58,4.3267,EEG Eye State,Gaussian,,,0.6226
DWN,2025-01-27 22:10:59,1.5772,EEG Eye State,Scatter Code,10,50,0.4298
DWN,2025-01-27 22:10:59,1.6529,EEG Eye State,Scatter Code,10,100,0.4131
DWN,2025-01-27 22:11:00,1.6445,EEG Eye State,Scatter Code,10,50,0.3487
DWN,2025-01-27 22:11:01,1.7217,EEG Eye State,Scatter Code,10,100,0.3800
DWN,2025-01-27 22:11:01,4.0378,EEG Eye State,Gaussian,,,0.6191
DWN,2025-01-27 22:11:02,1.6521,EEG Eye State,Scatter Code,10,50,0.4205
DWN,2025-01-27 22:11:02,1.5630,EEG Eye State,Scatter Code,10,100,0.3296
DWN,2025-01-27 22:11:03,4.3211,EEG Eye State,Gaussian,,,0.6317
DWN,2025-01-27 22:11:04,1.4295,EEG Eye State,Scatter Code,10,100,0.3697
DWN,2025-01-27 22:11:05,3.4934,MAGIC Gamma Telescope,Gaussian,,,0.6329
DWN,2025-01-27 22:11:05,1.5190,EEG Eye State,Scatter Code,10,100,0.4256
DWN,2025-01-27 22:11:06,3.4076,MAGIC Gamma Telescope,Gaussian,,,0.6135
DWN,2025-01-27 22:11:06,3.6032,MAGIC Gamma Telescope,Distributive,,,0.8042
DWN,2025-01-27 22:11:07,2.5915,MAGIC Gamma Telescope,Gaussian,,,0.6383
DWN,2025-01-27 22:11:09,3.0422,MAGIC Gamma Telescope,Distributive,,,0.8063
DWN,2025-01-27 22:11:09,2.9269,MAGIC Gamma Telescope,Distributive,,,0.8171
DWN,2025-01-27 22:11:09,3.1871,MAGIC Gamma Telescope,Gaussian,,,0.6193
DWN,2025-01-27 22:11:10,2.6496,MAGIC Gamma Telescope,Gaussian,,,0.6388
DWN,2025-01-27 22:11:12,3.2764,MAGIC Gamma Telescope,Distributive,,,0.7905
DWN,2025-01-27 22:11:12,3.0054,MAGIC Gamma Telescope,Distributive,,,0.8020
DWN,2025-01-27 22:11:13,2.7454,MAGIC Gamma Telescope,Gaussian,,,0.6725
DWN,2025-01-27 22:11:13,3.8006,MAGIC Gamma Telescope,Gaussian,,,0.6313
DWN,2025-01-27 22:11:15,3.1226,MAGIC Gamma Telescope,Distributive,,,0.8158
DWN,2025-01-27 22:11:15,3.2468,MAGIC Gamma Telescope,Distributive,,,0.8017
DWN,2025-01-27 22:11:15,2.7505,MAGIC Gamma Telescope,Gaussian,,,0.6626
DWN,2025-01-27 22:11:17,3.7575,MAGIC Gamma Telescope,Gaussian,,,0.6252
DWN,2025-01-27 22:11:18,2.7526,MAGIC Gamma Telescope,Linear,,,0.5344
DWN,2025-01-27 22:11:18,2.9563,MAGIC Gamma Telescope,Distributive,,,0.8287
DWN,2025-01-27 22:11:18,3.1129,MAGIC Gamma Telescope,Distributive,,,0.7924
DWN,2025-01-27 22:11:20,3.3596,MAGIC Gamma Telescope,Gaussian,,,0.6430
DWN,2025-01-27 22:11:21,2.7589,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:21,3.0527,MAGIC Gamma Telescope,Distributive,,,0.7889
DWN,2025-01-27 22:11:22,3.1711,MAGIC Gamma Telescope,Distributive,,,0.8055
DWN,2025-01-27 22:11:24,2.7543,MAGIC Gamma Telescope,Linear,,,0.5340
DWN,2025-01-27 22:11:24,3.6167,MAGIC Gamma Telescope,Gaussian,,,0.6410
DWN,2025-01-27 22:11:24,2.9165,MAGIC Gamma Telescope,Distributive,,,0.8174
DWN,2025-01-27 22:11:25,3.1514,MAGIC Gamma Telescope,Distributive,,,0.7778
DWN,2025-01-27 22:11:27,2.8805,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:27,3.0217,MAGIC Gamma Telescope,Distributive,,,0.8047
DWN,2025-01-27 22:11:28,3.8045,MAGIC Gamma Telescope,Gaussian,,,0.6495
DWN,2025-01-27 22:11:28,3.2252,MAGIC Gamma Telescope,Distributive,,,0.7852
DWN,2025-01-27 22:11:29,2.7070,MAGIC Gamma Telescope,Linear,,,0.4660
DWN,2025-01-27 22:11:30,3.0300,MAGIC Gamma Telescope,Distributive,,,0.8154
DWN,2025-01-27 22:11:31,3.1843,MAGIC Gamma Telescope,Linear,,,0.5340
DWN,2025-01-27 22:11:31,3.1446,MAGIC Gamma Telescope,Distributive,,,0.7653
DWN,2025-01-27 22:11:32,2.6126,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:33,2.9235,MAGIC Gamma Telescope,Distributive,,,0.8251
DWN,2025-01-27 22:11:34,3.2134,MAGIC Gamma Telescope,Distributive,,,0.8244
DWN,2025-01-27 22:11:35,3.6089,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:35,2.8191,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:36,2.8670,MAGIC Gamma Telescope,Gaussian,,,0.7894
DWN,2025-01-27 22:11:38,2.7791,MAGIC Gamma Telescope,Linear,,,0.4660
DWN,2025-01-27 22:11:38,3.3366,MAGIC Gamma Telescope,Distributive,,,0.7942
DWN,2025-01-27 22:11:38,3.4110,MAGIC Gamma Telescope,Linear,,,0.4660
DWN,2025-01-27 22:11:39,3.0964,MAGIC Gamma Telescope,Gaussian,,,0.7564
DWN,2025-01-27 22:11:40,2.6928,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:41,3.0826,MAGIC Gamma Telescope,Gaussian,,,0.7583
DWN,2025-01-27 22:11:41,3.3820,MAGIC Gamma Telescope,Linear,,,0.4658
DWN,2025-01-27 22:11:42,2.8889,MAGIC Gamma Telescope,Gaussian,,,0.7953
DWN,2025-01-27 22:11:43,2.6584,MAGIC Gamma Telescope,Linear,,,0.5342
DWN,2025-01-27 22:11:44,3.2746,MAGIC Gamma Telescope,Gaussian,,,0.8123
DWN,2025-01-27 22:11:45,3.5561,MAGIC Gamma Telescope,Linear,,,0.5344
DWN,2025-01-27 22:11:46,3.3757,MAGIC Gamma Telescope,Gaussian,,,0.7967
DWN,2025-01-27 22:11:46,3.2104,MAGIC Gamma Telescope,Scatter Code,10,50,0.5342
DWN,2025-01-27 22:11:48,3.5196,MAGIC Gamma Telescope,Gaussian,,,0.7553
DWN,2025-01-27 22:11:49,3.3196,MAGIC Gamma Telescope,Gaussian,,,0.8099
DWN,2025-01-27 22:11:49,3.9888,MAGIC Gamma Telescope,Linear,,,0.4713
DWN,2025-01-27 22:11:50,3.4600,MAGIC Gamma Telescope,Scatter Code,10,50,0.5344
DWN,2025-01-27 22:11:51,3.6482,MAGIC Gamma Telescope,Gaussian,,,0.7704
DWN,2025-01-27 22:11:52,3.4034,MAGIC Gamma Telescope,Gaussian,,,0.8034
DWN,2025-01-27 22:11:53,3.2908,MAGIC Gamma Telescope,Scatter Code,10,50,0.5344
DWN,2025-01-27 22:11:53,4.1736,MAGIC Gamma Telescope,Linear,,,0.4658
